category,subcategory,element_id,element_label,collection_rules,onestop_rules,granule_rules,doi_minting_rules,data_citation_rules,doi_landing_page_rules,rationale,content,REQUIRED_IF,LOGIC,OR,score,xpath
History,Statement,lineageStatement,Lineage Statement,Conditional,Conditional,Not Required,Not Required,Not Required,Not Required,Statement is required if neither Acquisition nor Lineage are documented. ,,,,,1,//gmd:DQ_DataQuality/gmd:lineage//gmd:statement
Identification,,abstract,Abstract,Required,Required,Required,Not Required,Not Required,Required,,,,,,1,//gmd:MD_DataIdentification/gmd:abstract
Identification,,browseGraphic,Browse Graphic,Recommended,Required,Not Required,Not Required,Not Required,Recommended,,,,,,1,//gmd:MD_DataIdentification/gmd:graphicOverview/gmd:MD_BrowseGraphic/gmd:fileName
Identification,,purpose,Purpose,Required,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:MD_DataIdentification/gmd:purpose
Identification,,resourceContact,Resource Contact,Required,Required,Not Required,Not Required,Not Required,Required,,,,,,1,//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty[gmd:role/gmd:CI_RoleCode/@codeListValue='pointOfContact'] | //gmd:MD_DataIdentification/gmd:pointOfContact
Identification,,resourceDate,Resource Date,Required,Required,Required,Required,Required,Required,,,,,,1,//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date[gmd:CI_Date or gmd:CI_Date/gmd:date/@gco:nilReason]
Identification,,resourceDateType,Resource Date Type,Not Required,Not Required,Not Required,Required,Required,Required,Resource Data Type must be 'creation' or 'publication' for Data Citation,,,,,1,/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode
Identification,,scopeCode,Resource Hierarchy Level,Required,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmi:MI_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode/@codeListValue
Identification,,hierarchyLevelName,Resource Hierarchy Level Name,Not Required,Not Required,Required,Not Required,Not Required,Not Required,,Granule,,,,1,//gmi:MI_Metadata/gmd:hierarchyLevelName
Identification,,resourceIdentifier,Resource ID,Recommended,Recommended,Not Required,Not Required,Required,Required,Resource ID must be a DOI.,,,,,1,//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:code
Identification,,resourceTitle,Resource Title,Required,Required,Required,Required,Required,Required,,,,,,1,//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title
Identification,,status,Status,Required,Required,Not Required,Not Required,Not Required,Recommended,,,,,,1,//gmd:MD_DataIdentification/gmd:status/gmd:MD_ProgressCode/@codeListValue
Identification,,themeKeywordThesaurus,Theme Keyword Thesaurus,Recommended,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'theme']/gmd:thesaurusName/gmd:CI_Citation/gmd:title
Identification,,themeKeywords,Theme Keywords,Required,Required,Not Required,Not Required,Not Required,Required,,,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords[gmd:type/gmd:MD_KeywordTypeCode/@codeListValue = 'theme']/gmd:keyword
Identification,,topicCategory,Topic Category,Conditional,Conditional,Not Required,Not Required,Not Required,Not Required,,,scopeCode == series; scopeCode == dataset ,OR,,1,//gmd:MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode
Identification,,granuleKeywords,Granule Keyword,Not Required,Not Required,Required,Not Required,Not Required,Not Required,"Only document when there are unique theme, place, instrument, or platform are unique to that granule and differs from the entire collection. Otherwise use @gco:nilReason=""inapplicable"".",,,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords[@gco:nilReason or //gmd:MD_Keywords/gmd:keyword]
Identification,,granuleKeywordThesaurus,Granule Keyword Thesuarus,Not Required,Not Required,Conditional,Not Required,Not Required,Not Required,Required when Granule Keywords are documented.,,granuleKeywords != inapplicable,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:thesaurusName
Identification,,granuleKeywordType,Granule Keyword Type,Not Required,Not Required,Conditional,Not Required,Not Required,Not Required,Required when Granule Keywords are documented.,,granuleKeywords != inapplicable,,,1,//gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode/@codeListValue
Metadata,,metadataContact,Metadata Contact,Required,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,/gmi:MI_Metadata/gmd:contact
Metadata,,metadataDate,Metadata Date,Required,Required,Required,Not Required,Not Required,Not Required,,,,,,1,/gmi:MI_Metadata/gmd:dateStamp
Metadata,,fileIdentifier,Metadata ID,Required,Required,Required,Not Required,Not Required,Not Required,,,,,,1,/gmi:MI_Metadata/gmd:fileIdentifier
Metadata,,metadataMaintenanceNote,Metadata Maintenance Note,Recommended,Recommended,Not Required,Not Required,Not Required,Not Required,,,,,,1,/gmi:MI_Metadata/gmd:metadataMaintenance/gmd:MD_MaintenanceInformation/gmd:maintenanceNote
Metadata,,metadataStandardName,Metadata Standard Name,Required,Required,Required,Not Required,Not Required,Not Required,,,,,,1,/gmi:MI_Metadata/gmd:metadataStandardName
Metadata,,metadataStandardVersion,Metadata Standard Version,Required,Required,Required,Not Required,Not Required,Not Required,,,,,,1,/gmi:MI_Metadata/gmd:metadataStandardVersion
Quality,,qualityReport,Quality Report,Required,Not Required,Not Required,Not Required,Not Required,Not Required,,,scopeCode != fieldSession,,,1,//gmd:DQ_DataQuality/gmd:report//gmd:nameOfMeasure | //gmd:measureIdentification | //gmd:measureDescription | //gmd:evaluationMethodDescription | //gmd:evaluationProcedure
Quality,,evaluationMethodDescription,Evaluation Method Description,Not Required,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:DQ_DataQuality/gmd:report//gmd:evaluationMethodDescription
Quality,,evaluationProcedure,Evaluation Procedure,Not Required,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:DQ_DataQuality/gmd:report//gmd:evaluationProcedure
Quality,,measureDescription,Measure Description,Not Required,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:DQ_DataQuality/gmd:report//gmd:measureDescription
Quality,,measureIdentification,Measure ID,Not Required,Required,Not Required,Not Required,Not Required,Not Required,,MMStew,,,,1,//gmd:DQ_DataQuality/gmd:report//gmd:measureIdentification
Quality,,nameOfMeasure,Name of Measure,Not Required,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:DQ_DataQuality/gmd:report//gmd:nameOfMeasure
Quality,,reportDate,reportDate,Not Required,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:DQ_DataQuality/gmd:report//gmd:dateTime
Quality,,result,Quality Result,Recommended,Required,Not Required,Not Required,Not Required,Not Required,,,,,,1,//gmd:DQ_DataQuality/gmd:report//gmd:result
Quality,,qualityScope,Quality Scope,Required,Required,Not Required,Not Required,Not Required,Not Required,,,scopeCode != fieldSession,,,1,//gmd:DQ_DataQuality/gmd:scope/gmd:DQ_Scope/gmd:level/gmd:MD_ScopeCode/@codeListValue[../../../../../gmd:report]
